open,high,low,close,volume,date
263.72,263.72,263.72,263.72,264.0,2005-02-21 05:45:00
263.41,263.41,263.41,263.41,263.0,2005-02-22 05:45:00
264.39,264.39,264.39,264.39,264.0,2005-02-23 05:45:00
264.98,264.98,264.98,264.98,265.0,2005-02-24 05:45:00
265.53,265.53,265.53,265.53,266.0,2005-02-25 05:45:00
265.97,265.97,265.97,265.97,266.0,2005-02-28 05:45:00
268.42,268.42,268.42,268.42,268.0,2005-03-01 05:45:00
271.41,271.41,271.41,271.41,271.0,2005-03-02 05:45:00
273.57,273.57,273.57,273.57,274.0,2005-03-03 05:45:00
277.62,277.62,277.62,277.62,278.0,2005-03-04 05:45:00
279.49,279.49,279.49,279.49,279.0,2005-03-07 05:45:00
281.8,281.8,281.8,281.8,282.0,2005-03-09 05:45:00
283.43,283.43,283.43,283.43,283.0,2005-03-10 05:45:00
280.65,280.65,280.65,280.65,281.0,2005-03-11 05:45:00
278.5,278.5,278.5,278.5,279.0,2005-03-14 05:45:00
276.45,276.45,276.45,276.45,276.0,2005-03-15 05:45:00
274.67,274.67,274.67,274.67,275.0,2005-03-16 05:45:00
273.35,273.35,273.35,273.35,273.0,2005-03-17 05:45:00
274.35,274.35,274.35,274.35,274.0,2005-03-18 05:45:00
275.57,275.57,275.57,275.57,276.0,2005-03-21 05:45:00
277.1,277.1,277.1,277.1,277.0,2005-03-22 05:45:00
278.46,278.46,278.46,278.46,278.0,2005-03-23 05:45:00
278.86,278.86,278.86,278.86,279.0,2005-03-24 05:45:00
279.86,279.86,279.86,279.86,280.0,2005-03-28 05:45:00
281.08,281.08,281.08,281.08,281.0,2005-03-29 05:45:00
283.72,283.72,283.72,283.72,284.0,2005-03-30 05:45:00
284.34,284.34,284.34,284.34,284.0,2005-03-31 05:45:00
284.21,284.21,284.21,284.21,284.0,2005-04-01 05:45:00
285.51,285.51,285.51,285.51,286.0,2005-04-04 05:45:00
285.43,285.43,285.43,285.43,285.0,2005-04-05 05:45:00
286.51,286.51,286.51,286.51,287.0,2005-04-06 05:45:00
289.56,289.56,289.56,289.56,290.0,2005-04-07 05:45:00
291.09,291.09,291.09,291.09,291.0,2005-04-08 05:45:00
290.65,290.65,290.65,290.65,291.0,2005-04-11 05:45:00
291.83,291.83,291.83,291.83,292.0,2005-04-12 05:45:00
293.26,293.26,293.26,293.26,293.0,2005-04-13 05:45:00
293.71,293.71,293.71,293.71,294.0,2005-04-18 05:45:00
293.71,293.71,293.71,293.71,294.0,2005-04-19 05:45:00
292.59,292.59,292.59,292.59,293.0,2005-04-20 05:45:00
293.58,293.58,293.58,293.58,294.0,2005-04-21 05:45:00
294.03,294.03,294.03,294.03,294.0,2005-04-24 05:45:00
294.98,294.98,294.98,294.98,295.0,2005-04-25 05:45:00
294.44,294.44,294.44,294.44,294.0,2005-04-26 05:45:00
295.33,295.33,295.33,295.33,295.0,2005-04-27 05:45:00
294.29,294.29,294.29,294.29,294.0,2005-04-28 05:45:00
294.79,294.79,294.79,294.79,295.0,2005-05-01 05:45:00
296.11,296.11,296.11,296.11,296.0,2005-05-02 05:45:00
297.81,297.81,297.81,297.81,298.0,2005-05-03 05:45:00
298.78,298.78,298.78,298.78,299.0,2005-05-04 05:45:00
